dialogue_id,query,ground_truth_response
8777, we don't give discounts .   In that case , I don't think I'll buy one here . 
7369,Both of the two young ladies are the candidates for the position   The question is we only need one .   Right.The choice is yours , the tall one or the short one ?   I should take the taller one for the choice . 
5491, maybe not a Michael Zhang , but better than the average . Person would you like to play again Wednesday ?   Yes . This has been fun . 
10529, Jim's here ! I've been waiting to hear him sing all night .   Well , you asked for it . Why don't you put on an Elvis song for him ? He loves ' The King ' .   I'll put the song at the front of the list . 
1247,No dialogue,No response
7734, you never know whether w   that's why I like department stores more . Shopping at a wholesale market like the locals is one of the few things I am unable to grow accustomed to .   I understand . While it's always good to follow the local customs , I guess there are exceptions . 
6223, Miss Lee .   You are welcome . And , please call me Betty . 
5957, blue sky and white clouds . Few places have preserved the past like this place . Walking on the ancient road makes us back to our sense .   Wonderful . That's just what I expect , where is my first place if I go there ?   Zhouzhuang .   How long does the tour take ?   It's about two days .   what's the cost ?   It's about 300 yuan .   I know . Thank you very much .   That's all right . May you have a good trip !   Thank you .   My pleasure . 
713, I just want to meet you .   How about tomorrow instead .   Hmm , that's all right . Shall we meet at the bar near the beach ?   All right . See you then . 
3862, you might be right .   April might be nice . It is far enough away to make the necessary arrangements .   That is a good suggestion .   We could ask everyone what would be the best time for them .   Yeah , that would let us know what would work best .   I'll put the survey online this afternoon . 
6947, coffee or tea ?   Bring me a cup of coffee , please .   How do you like it ?   I'd prefer a black one . 
7025, really ?   You are coming ?   Probably not .   Why is that ?   I don't feel like going .   Why not ?   I really can't stand going to parties .   I understand , I guess .   Sorry about that . 
2907, as a matter of fact , I've got a lunch date with Bob Thomas . 
635,There ’ s a letter here for you .   Let me see it .   What ’ s the letter about ?   It ’ s a letter from NYU .   Tell me what it says !   I didn ’ t get in .   You ’ re lying .   I ’ m not lying .   Are you upset ?   I had high hopes for NYU .   I ’ m sorry you didn ’ t get accepted .   Hopefully , I ’ ll get accepted to UCLA . 
10352,Do you have any certificates on computer ?   Yes . I have ACRE ( National Computer Rank Examination ) certificate , Rank II .   How did you get it ?   I failed in my computer course once and I made up my mind to learn it well . Then I made painstaking preparation for 3 months and I finally got it . 
9469, but I ’ ll let it go . Anything for love !   Thanks , ma ’ am . You ’ re a lifesaver ! 
4733, chess aims to kill , while weigh is most concerned with howso survive . 
10318,No dialogue,No response
6489, I'm sorry . Our computer system is down . Could I call you back later ?   Sure . Do you have my number ?   Yes , I have it right here . I'm so sorry about this .   No problem . I'll wait for your call . 
